Schlagwort;Idee;Problem;Lösung
Digitalisierung;"""Rahmen-App"" für Smart City Bamberg";Im Rahmen der Smart City Initiative werden vermutlich viele kreative und interessante Ideen im Rahmen einer App geplant und umgesetzt. Wir kämpfen bereits heute mit einer großen Flut an Apps auf unseren Mobiltelefonen und Tablets. ;"Entwicklung einer Smart City Bamberg ""Rahmen-App"", die als Behälter für beliebige Apps bzw. dann eher App-Modulen fungiert. Jeder Benutzer kann selbst aus der Liste dieser App-Module wählen und diese aktivieren oder auch wieder deaktivieren, was für ihn interessant und wichtig ist.
Eine solche Grundstruktur mit den ersten App-Modulen kann sicher im Rahmen eines oder mehrerer Hackatons skizziert und entwickelt werden."
Verwaltung;Beratungsservice für Speisen & Einkäufe für Menschen, die ihre Wohnungen nicht verlassen können;"Menschen die ihre Wohnung nicht mehr oder aktuell nicht verlassen können und zudem keinen Internetzugang haben, können stets nur auf bereits bekannte Telefonnummern und Produkte zugreifen. Dadurch sind Genussvielfalt und Lebensqualität spürbar eingeschränkt. Manche Lokale wechseln wöchentlich die Gerichte, sodass eine in Papierform vorhandene Speisekarte nur für einige Tage gilt. Dies führt dazu, dass - im worst case - das immergleiche Gericht beim immergleichen Lieferanten bestellt wird / werden muss, und die immergleichen Lebensmittel beim immergleichen Händler. Dies mag für einige Wochen OK sein, nach einigen Monaten oder gar Jahren verringert es die Freude am Leben erheblich und führt zudem zum Gefühl des Ausgeschlossenseins und ""keine-Wahl-mehr-habens-und-nie-wieder-erhaltens"". (Diese Problematik wurde im Gespräch mit einer älteren Dame ausführlich reflektiert und auch die Lösung versucht zu konzipieren).";"Einen telefonischen oder mobilen Beratungsservice, der auf Basis einer geschickten Fragenstellung frühere und aktuelle Vorlieben und Bedürfnisse bzgl. ""Mittagessen"" ""Abendessen"" ""Lebensmitteleinkauf"" erfragt, diese mit einer Meta-Applikation match und Vorschläge für den Tag oder Einkauf unterbreitet. Telefonisch erfordert gutes Fragen und Zuhören, mobil wären Visualisierungen möglich. Wahlmöglichkeit zwischen wöchentlich-fester und täglich-flexibler ad-hoc Beratung. "
Verwaltung;Matchmaking zwischen Besuchs- / Aktivitätsbedürfnissen und Besuchs- / Aktivitätsanbietenden;"Menschen, die ihre Wohnung (aktuell oder generell) nicht verlassen können, wünschen sich oftmals Besuch oder begleitete Aktivitäten. Dies nicht fixiert ""jeden Mittwoch um 15 Uhr"", sondern auch mal ""spontan auf Abruf"". (Bedürfnis einer älteren Dame) ";Hackathon zur Ideenentwicklung, wie Besuchsdienste und Besuchswillige sowie Nachfragende zusammengebracht werden können, wenn die Nachfragenden keinen Internetzugang besitzen und flexibel sein möchten. 
Digitalisierung;3D-Stadtplanungssoftware für die Szenariendurchspielung bei Bürger:inn:enbeteiligungen;Verkehrs-/Mobilitäts- & Quartiers(weiter)entwicklung sind stetig erforderlich und sorgen trotz mancher Befragungen und Ortsbegehungen während der Entscheidungsphase und nach der Entscheidung für Unmut, da sich danach erst erweist, welche Nebenwirkungen noch nicht bedacht wurden. Aktuelle Beispiele: Marienplatz (Bushaltestellen, Parkplätze, Radverkehr), Ehrlichstraße (Busverkehr, Parkplätze, Radverkehr) und bald z.B. Neuplanung Promenade-Nord. ;Probeweiser Erwerb bzw. Anmietung oder Erstellung/Verbesserung einer 3D-Stadtplanungs- oder Quartiersentwicklungssoftware, die es webbasiert erlaubt, Ideen und Anliegen von BürgerInnen in ein Szenario einzuspielen, bei dem die Auswirkungen der Entscheidung schneller erkennbar weil für alle visualisiert sind. Und die Software optimalerweise durch bereits enthaltene Standart-Nebenwirkungsberechnungen auf die Auswirkungen einer Entscheidung für alle Beteiligten hinweist und - noch optimalerweise - Möglichkeiten zur Umgehung der Nebenwirkungen vorschlägt. Webbasiert deshalb, weil es eine hybride Veranstaltung erlaubt, deren Inhalte gespeichert und später verglichen werden können. Hybrid heißt: webaffine Menschen die tagsüber andernorts tätig sind können per web dabei sein und analog-affine-Menschen in einem größeren Saal vor Ort teilnehmen. 
Crowdsensing;App für sofortiges Melden von Stolperfallen an den Bauhof mit Foto und Punkt im Stadtplan ;Schäden im Kopfsteinpflaster oder Teer sind Stolperfallen für Sehbehinderte und Menschen mit Geh- und Bewegungseinschränkungen. Bis die Information zum Bauhof zur Behebung gelangt, dauert es lang. ;App für sofortiges Melden von Stolperfallen an den Bauhof mit Foto und Punkt im Stadtplan. 
Verwaltung;Verbesserung der Stadtverwaltung-Homepage: bessere und leichter findbare Infos für Bürger:innen;Die Homepage der Stadt Bamberg bietet im Vergleich zu Seiten anderer mittelgroßer Städte weniger Information und diese auch noch unübersichtlicher ;Überarbeitung der Homepage ähnlich dem Vorbild der Stadt Schweinfurth. Beispiel Suchwort Sterbefall. https://www.schweinfurt.de/rathaus-polit...
Verwaltung;Anwohnerparkplakette für Handwerker:innen mit Kastenwagen;"Allein-Selbständige Handwerker:innen haben oftmals ein ""Betriebsfahrzeug"", aber kein privates Fahrzeug. Für dieses Betriebsfahrzeug gibt es in Bamberg keine Anwohnerplakete. ";Anwohnerparkausweis auch für Handwerkerauto, wenn kein weiteres Fahrzeug im Besitz des Handwerkers / der Handwerkerin ist. 
Verwaltung;Transparenz im Haushalt der Stadt Bamberg - Umstellung auf Doppik und Kurz-Erläuterung;Kaum einer kann den bamberger Stadthaushalt nachvollziehen. Aktuell noch Kameralistik, die weder von den meisten Stadträt:innen noch den Bürger:innen verstanden wird. Zudem unklare Zuordnungen, unübersichtliche GmbHs und Stiftungen ;"Umstellung auf Doppik. Kurz-Information ähnlich ""Stadtfinanzen kompakt"" der Stadt Erlangen https://www.erlangen.de/DesktopDefault.a..."
Stadtgestaltung;Übersicht Sportmöglichkeiten in Stadt und Umkreis Bamberg;Vielfältige Sportangebote, aber die Information muss mühsam zusammengesucht werden (auf den Seiten der VHS, der Vereine, der Fitnesscenter, der Physiotherapeuten etc.) ;"""Metacrawler"" mit einfacher Benutzerseite für die Abfrage, der alle Seiten abfragt und den Stand der Information sowie die Kontaktdaten des Sport-Angebots-Anbietenden anzeigt "
Verwaltung;Öffentliche Kantinen;"In Bamberg gibt es div. Kantinen in Ämtern und Firmen, die auch der Öffentlichkeit zugänglich wären. Aber sie sind nicht bekannt und nicht auffindbar. (mal des Spaßes wegen bitte ""Öffentliche Kantine"" oder nur ""Kantine"" in die Suchmaske auf der Homepage der Stadt Bamberg eingeben bitte) ";"Seite ""Öffentliche Kantinen"" auf Homepage der Stadtverwaltung, mit Öffnungszeiten, Links zum Speiseplan der Woche, Verlinkung mit Routenplaner für Anfahrt und Fahrzeit mit Fahrrad bzw. Laufzeit "
Verwaltung;Flächenfraß reduzieren;Bamberg fehlen angeblich Flächen für Gewerbe. Gleichzeitig stehen Gewerbeflächen leer bzw. verbrauchen manche Gewerbe enorm viel Fläche für Parkplätze (zB. Fa. Bosch, Fa. Brose, Autohäuser) ;"Künftig: ab mehr als 10 Parkplätzen Verpflichtung für Firmen, variable Park""paletten"" oder Parkhäuser zu errichten. Schrittweiser Rückbau und Begrünung sowie Neuvergabe vorhandener überdimensionierter Parkplätze. Ausstellflächen der Autohäuser und Firmen müssen bis 2025 um 25 %, bis 2030 um weitere 50 % zurück gebaut werden und ebenfalls Parkpaletten oder Parkhäuser als Ausstellungsräume installiert werden. "
Stadtgestaltung;Begrünungs- und Renaturierungsplan zur Mitwirkung veröffentlichen ;"Bamberg hat lt. Rathausjournal ein Begrünungskonzept. Dieses ist jedoch nirgends zu finden.
An vielen Stellen in Bamberg wird es im Sommer zu heiß da Bäume fehlen, zudem könnten die Straßen durch Bepflanzung optisch verschönert werden (Königstraße, Siechenstraße, Gaustadter Hauptstraße) ";Begrünungskonzept veröffentlichen bzw. in interaktivem Stadtplan zur Verfügung stellen, in den Bürger:innen nach dem Einloggen / Authentifizierung per einfügbarer Symbole z.B. Bäume und Hecken, evtl. auch Sitzbänke etc. einfügen können. Daraus wird wöchentlich eine Veränderungsmeldung ans Gartenamt erstellt, das Realisierbarkeit, Kosten und Aufwand für Errichtung und Unterhalt schätzt, und je nach Ergebnis selbst die Begrünung umsetzt oder dem zuständigen Bürgerverein plus Stadtrat zur Information und Entscheidung mit den Bürger:innen vor Ort vorlegt.
Stadtgestaltung;Stadtentwicklung - geplant, nachhaltig, zukunftsfähig;"Bamberg wächst ""wild"" und wird an einigen Stellen mit fokussiertem Blick entwickelt. Ein überlegtes Planen ist für viele Bamberger:innen nicht erkennbar. Erkennbar sind aber Verschlechterungen in der Nahversorgung (Lädensterben der letzten Jahrzehnte), Bedarf und Nachfrage an regionalen Erzeuger:innen, Wunsch nach weniger Verkehrsbelastung und mehr beruhigten Zonen, Abbau von Fahrbahnen und mehr Shared Space etc. ";Professionelle/n Stadtentwickler:in einstellen, die / der unter Bürger:innenbeteiligung Kriterien für eine nachhaltige zukunftsfähige und sozial gerechte Stadtentwicklung definiert. Mittels interaktiver Karten für eine gezielte Entwicklung von Straßen, Plätzen, Quartieren und der Gesamtstadt können die Bürger:innen ihre Ideen zur Umsetzung und Erfüllung dieser Kriterien einspeisen, Stadtentwickler:in kondensiert diese und erstellt Realisierungsszenarien, die den Bürger:innen zur Abstimmung vorgestellt werden.
Verwaltung;Verbesserungs- und Wahlversprechen dokumentieren und nachverfolgen;Vor Kommunalwahlen und auch während der Legislaturperiode geben Stadtverwaltung und Fraktionen Versprechen und Zusagen ab, deren Einhaltung oft nicht verfolgt und überprüft werden kann. Bei Bürger:innen entsteht oftmals das Gefühl, dass Zusagen und Versprechungen nicht eingelöst würden.;Einfaches Excelsheet mit alphabetischer Erfassung der Zusagen und Versprechen, sowie der aktuelle Bearbeitungsstatus in wenigen Kategorien (Datum Beginn, Beschreibung Zwischenstand am ..(Datum), Abstimmung im Stadtrat am (Datum), Ergebnis (optimalerweise mit Link zur Einsicht der namentlichen Entscheidung) 
Verwaltung;" Verpflichtende Betriebsstättenparkplätze ab mehr als 2 Fahrzeugen
";Dienstleistungsbetriebe, Pflegedienste etc. haben oftmals mehr als 2 Fahrzeuge, die sie nicht auf Firmengelände sondern auf öffentlichen Straßen abstellen. Z.B. die AWO in der Hauptsmoorstraße oder eine Reinigungsfirma in der Pestalozzistraße. Damit nehmen sie Parkplätze in Anspruch, die allen Anwohner:innen und deren Besucher:innen zur Verfügung stehen sollten. ;Lösungsfindung gemeinsam mit den Verursacher:innen. Ziel ist, dass maximal 2 Fahrzeuge pro Betrieb öffentlichen Parkraum beanspruchen. (Gemeint ist hiermit das Abstellen der Fahrzeuge nach den Einsätzen, nicht das Parken während der Einsätze) 
Verwaltung;# Städtische Mietobjekte (Wohnungen, Häuser, Werkstätten, Keller etc);Die Stadt Bamberg hat obiges, Übersicht über den Bestand und die Belegung oder die Konditionen gibts aber nicht. ;"Eine Zusammenfassung und leichte Auffindbarkeit der o.g. Informationen.
Welche Mietobjekte sind wie lange vermietet, welche stehen (noch) zur Vermietung zur Verfügung? Für Privatmenschen, Gewerbetreibende, Kunst & Kultur.
Gewünscht wurde auch die Information, zu welchem qm-Preis sie aktuell vermietet sind um Transparenz und Vergleichbarkeit zu haben. Für die Vergleichbarkeit müssten m.M. nach noch Kriterien zugefügt werden, die den Mietpreis erläutert (Ausstattung, baulicher Zustand, Höhe Nebenkosten) "
Kultur;#Kenne Deine Kulturschaffenden! - (An)Erkennung statt Lobhudelei einzig bei Preisen;Es herrscht das Gefühl vor, in Bamberg zählen die hier lebenden Kulturschaffenden erst, wenn sie von Extern einen Preis verliehen oder eine sonstige Erwähnung/Belobigung erhalten haben. Vorher gibts keine Anerkennung & Wertschätzung.;Einfachste Weise: Bereitstellung einer Datenbank ähnlich XING, in die sich die lokalen Künstler:innen und Kulturschaffenden eintragen, damit vorstellen und gefunden werden können. Minimalanforderung: Betätigungsfelder, Aktuelles, Kontaktdaten. Plus einige Fotos, evtl. Videos, evtl. Werdegang in den relevantesten Schritten. Sortierbar nach Stadtviertel, Sparte, Angebot, Öffnungszeit.. 
Verwaltung;Machtverteilung, Konflikte, Einflussmöglichkeiten;"In Bamberg brodeln die Gerüchteküchen. Besonders in der Kritik schienen bisher OB Starke, Hr. Stieringer und Hr. Felix zu stehen. Hinzu gekommen sind ""Die Grünen"". Es gibt beinah verschwörungstheoretische Ansätze, wer mit wem weshalb verbandelt ist und heimlich mitregiert. Oft wird unterstellt, Hr. Felix hätte die alleinige Macht und könne Entscheidungen so vorbereiten und steuern, dass sie in seinem Sinne oder im Sinn der von ihm favorisierten Gruppe fielen. Hr. Stieringer und die von ihm übernommene Vielzahl von Rollen trägt ebenfalls dazu bei. Diese Vermutungen sind ungut fürs Stadtklima und für die Mitwirkungsbereitschaft von Bürger:inne:n. Sie schrecken manche Menschen davon ab, sich in Bamberg kommunalpolitisch zu betätigen, da durch die gemutmaßten Klientelfärbungen die Einfluss- und Mitgestaltungsmöglichkeiten gering scheinen.";"Eine Lösung konnten mir die Themeneinbringenden nicht nennen. Nur Frust.
Meine Idee: Gut wäre evtl. eine Soziale Netzwerkanalyse & Visualisierung der Verknüpfungen und Mehrfachverbandelungen plus ausgeübte Rollen auf einer Übersicht für Stadtratsfraktionsmitglieder - Fraktionsvorsitzende - Amts-/Referatsleiter:innen.
Im nächsten Schritt könnte überlegt werden, welche Strukturen förderlich und welche hinderlich für Gerüchte sind und Massnahmen ersonnen werden, die diese entsprechend beeinflussen.Evtl. ergeben sich Forderungen nach Offenlegung von Entscheidungsprämissen und Entscheidungsbäumen. "
Mobilität;#Digitalisierung Busauskunft in Bamberg: alexa-fähig stellen;VGN-Auskunft für Bamberg ist nicht über Alexa abfragbar ;VGN-Auskunft für Bamberg ebenso bei Alexa einbinden wie es die Auskunft für Erlangen oder Coburg ist 
Digitalisierung;#Digitalisierung Plätze auf der Unteren Brücke per Luca-App vergeben;Brücke überfüllt, Müllrückstände, keine Nachverfolgbarkeit ;"Auf der Unteren Brücke befinden sich bereits Nummerierungen für Flohmärkte. Ähnlich den Ständen, könnten die Plätze für den Abend gebucht werden. Wie dies funktioneren könnte: es würde vermutlich ein Event pro Abend erstellt werden, dem sich Menschen zuordnen können. Jeder der ca. 50 Plätze erhält seinen eigenen Luca-Code. Die maximale Personenzahl pro Platz müsste auch definiert werden (evtl. 4-5). Sind alle Plätze gebucht, ist der Event ""voll"". Buchungen könnten stundenweise und für maximal 4 Stunden möglich sein. Sinnvoll wäre ein Workshop mit einigen Brücken- Besucher:innen dazu, um Akzeptanz, Praktikabilität sowie bestmögliche Gestaltung zu finden."
Digitalisierung;Senior:inn:en-Hilfe: Modellprojekt mit Uni & Bosch & Caritas etc initiieren;Ältere Menschen möchten in ihren Wohnungen bleiben, benötigen mehrfach am Tag Hilfe bei Kleinigkeiten und auch Ansprache. 7 * 24 Stunden-Pflege ist arbeitsrechtlich und finanziell nicht möglich, zudem wird nur punktuell Unterstützung benötigt. ;"Sehr kurz skizziert: Projektteam soll ""Pflege Roboter"" evaluieren und für den Einsatz bei Senior:inn:en optimieren. Auch ""Alexa""s` könnten evtl. hilfreich sein, wenn es um Informationen, Ansprache oder Vorlesen geht. https://www.24h-pflege-check.de/senioren.... Wenn so ein humanoides Roboterchen mit Kindchen-Schema-Kopf so geteached werden kann, dass es Dinge bringen, Telefonate unterstützen, Fernsehsender finden, ""aktiv zuhören"" und seufzen oder lachen kann, wäre dies eine große Unterstützung.Evtl. kann es auch beim Zubettgehen unterstützen oder wenn Senior:inn:en gestürzt sind, Aufstehhilfe leisten bzw. den Hausnotruf verständigen."
Digitalisierung;Kostenfreie Wohnungstauschbörse ;Familien mit Kindern suchen oft größere Wohnungen, Singles und ältere Menschen manchmal kleinere Appartments. ;Diese beiden zusammenzubringen wäre über eine online-Wohnungstauschbörse möglich. 
Stadtgestaltung;Gesprächs- & Spiele-Cafés in allen Stadtvierteln ;Menschen aller Altersgruppen möchten nicht alleine im Cafe sitzen, sondern ratschen oder Spiele spielen. Einfach jemanden anzusprechen, der sich evtl. gestört fühlen würde, trauen sie sich nicht. ;Jedes Stadtviertel sollte mindestens einmal wöchentlich plus am Sonntag ein Gesprächs- & Spiele-Café anbieten. Dies könnte in einem Nebenraum einer bereits vorhandenen Gaststätten stattfinden, die eine Basisausstattung an Spielen erhalten und in einer App oder auf einer Seite der Stadt Bamberg gelistet sind. Wer in diesem Nebenraum sitzt, erweist sich damit als offen für ein Gespräch. 
Mobilität;Parkplatz-App & Installation, die Autofahrer in die Parkhäuser lotst;Die Innenstadt hat zu viel Autoverkehr, zu viel Parkplatz-Suchverkehr. ;"Mit einer geschickten ""Leitung"" und zusätzlicher Motivation (10 mal Parkhaus = 1 Freikaffee o. Ä.) könnte die Innenstadt autofreier werden. "
Verwaltung;Gärtner erhalten, Markt regionaler Produkte ausbauen => Digitalkampagne, auch an relevanten Orten ;Noch immer kaufen auch in Bamberg viele Menschen Obst und Gemüse nicht aus regionalen Betrieben. Dies führt zum Gärtner- und Landwirtesterben bei uns und ist durch längere Transportwege nicht nachhaltig. ;"Imagekampagne ""wie soll Dein Bamberg aussehen?"" print und digital
so: mit zerbrochenen Gärtnerglashäusern und Geschichten des Niedergangs dazu
oder so: blühendes in Gewächshäusern, mehrere Menschen arbeiten auf Feldern
so: mit Klimakatastrophenbildern und Hinweisen zum Lebensmitteltransport
oder so: Bilder vom Einkauf lokal und regional, auch Edeka und Rewe, und alle die ""Lokales & wirklich Regionales"" anbieten erwähnen
plus Listung Gesamtkosten in CO2-Abdruck der Lebensmittel und Gesamtkosten in Euro bei einem ""Beispieleinkaufswagen""
Kampagne auf FB,Instagram, in FT, in Wobla, auf Plakatwänden in Einkaufszentren und vor Grossisten/Fillialisten"
Verwaltung;Künstler:innen & Kulturschaffende gerechter in Planung von Veranstaltungen einbinden;Künster:innen & Kulturschaffende können sich aktuell in einen Newsletter eintragen, in dem sie erfahren wann Veranstaltungen sind und wer dort auftritt, es scheint aber keinen Pool an Adressen und Fachrichtung zu geben, sodass die Künstler:innen VORHER informiert werden könnten und sich um eine Beteiligung bewerben könnten. ;"InteressentenPool in Kulturamt anlegen
bzw. Künster:innen-Datenbank, die von der Stadtverwaltung bereitgestellt und administriert wird, in die sich die Künstler:innen aber selbst eintragen können. Und angeben können, ob sie in die Planung von Veranstaltungen einbezogen werden möchten. Bei Häkchen hier - Information sobald Planung losgeht in Form einer Ausschreibung, damit sich Künstler:innen um Teilnahme bewerben können."
Digitalisierung;Digitalisierte Planung von Kultur-Standorten;"Bamberg restauriert immer wieder ältere Gebäude und stellt sie als Kulturraum zur Verfügung. So geschehen in der Alten Seilerei und jetzt bei der Rost-Scheune. Der Haken dabei ist: sie befinden sich inmitten von Wohnbebauung und grenzen schlimmstenfalls ans Schlafzimmer der Nachbarn an. Das hat zur Folge, dass Veranstaltungen spätestens um 22 Uhr beendet sein müssen, extrem leise sein müssen, das Publikum - das sich eigentlich noch in angeregtem Austausch befinden solle/wollte/könnte - gebeten werden muss, mucksmäuschenstill nach Hause zu gehen. Ergebnis: Alte Seilerei ist Geschichte, Bistro darin hats nicht überlebt. Rost-Scheune ist ebenfalls fraglich ""bespielbar"". Das Lagarde-Projekt läuft unweigerlich in die selbe Richtung, da inmitten von Wohnbebauung - Verkehrsaufkommen und Publikum werden ein Problem werden.";"Digitalisierte Stadtplanung, die die ""Umeltbedingungen"" im Hinblick auf soziale Verträglichkeit abprüft und sofort ein ""Alarm-Veto"" einlegt, wenn erneut in Wohbebauung geplant werden soll. Gleichzeitig eine Alternative vorschlägt, die diese Nachbarschaftsthematik nicht hat (in der Nähe von Bürokomplexen z.B.) "
Digitalisierung;Single-Wohnungen nicht nur für Student:innen und in der Innenstadt;Wohnen in Bamberg ist für Singles jeder Altersstufe mit geringen Einkommen kaum realisierbar - sie müssen ins Umland ziehen, denn unter 500 € findet sich auf dem freien Markt kein 1-Zi-Appt.. Gehen Geringverdiener in Rente, verschärft sich die Situation. In Bamberg entstehen Studentenwohnungen, aber keine kleinen Single- und Seniorenwohnungen. Das entspricht nicht dem aktuellen und erst recht nicht dem künftigen Bedarf. ;Bau- und Umbaumaßnahmen: digitale Softwarelösung (er)finden, die bestehenden innerstädtischen Wohnraum auf Umbaubarkeit screent und Vorschläge für die Aufteilung von 4 - 6 Zimmer-Wohnungen ausgibt. Diese großen Innenstadtwohnungen sind für Familien eh nicht bezahlbar, wären aber für den Umbau für Singles geeignet. Die Erdgeschosse müssten alternsgerecht gestaltet werden: ohne Schwellen, mit rollatorgeeigneten Türen und rollstuhlgerechten Küchen.
Stadtgestaltung;Digitales Modell für (Keller)Clubs für (Sub)Kultur im Hafenbereich;Früher gabs den Morphclub, die Alte Gasse, das Downstairs etc., aktuelle gibts wg. baulicher Schäden keine Kellerclubs mehr. ;Digitales Modell von Kellerclubs entwickeln, das skalierbar ist und den Unternehmen im Hafengebiet angeboten wird, um ihre Kellerräume für Clubs in den Nachtstunden umzubauen. Werden die aktuelle Pläne und die digitalen Modelle übereinandergelegt, könnte eine Software die nachhaltigste Umbauvariante vorschlagen. Polizei ist auch bereits ums Eck und die Erreichbarkeit per ÖPNV und Fahrrad gegeben. Zudem keine Nachbarn die sich gestört fühlen könnten. 
Verwaltung;Gewerbe und Wirtschaft: gesunde zukunftsfähige Mischung herstellen;Bamberg scheint einseitig fokussiert und abhängig von wenigen großen Playern, die in einer einzigen Branche agieren. Das ist nicht zukunftsfähig. ;Screening von Trendstudien und best-practise-Städten, Abgleich mit Situation vor Ort und den Bedarfen der Absolvent:innen von Ausbildungen und Universität, und Ansiedlungs- oder Stärkungsplanung für zukunftsfähige Arbeitsplätze. 
Stadtgestaltung;Sport: Beachvolleyballfelder, Squashcourts etc.anlegen und digitale Karte erstellen;Die Bamberger:innen und Student:innen möchten sich oder müssten sich mehr bewegen um gesünder zu bleiben. Corona-konforme Anreize und Orte dafür sind spärlich verteilt und wenig bekannt. ;Bedarf in den Stadtvierteln erheben, große versiegelte Fläche teil-entsiegeln und Beachballfeld anlegen, Karte/Plan dazu erstellen. Digitale Begleitung und Mitmachaktionen für Planung und Umsetzung sowie Einweihung durch Bürger:innen- und Student:innen. 
Verwaltung;" ""Wir sind eine gesunde Stadt"" => mehr Aufklärung gesunde Lebensweise, Stärkung lokaler & regionaler Erzeuger:innen/Anbieter:innen";"Immunsysteme stärken wäre gegen Corona und für gutes älterwerden oder auch gutes großwerden wichtig.
Regional tolle Erzeuger:innen und Anbieter:innen - vereinzelt. Gesamtblick und Bewusstsein in Bevölkerung, plus Preistransparenz ";"Informationskampagne (digital - print - Schulen - Öffentlichkeit), in Verbund mit regionalen Anbieter:innen alternativer Produkte zu tierischen Erzeugnissen (Gärtner:innen, LM-Einzelhandel...)
Evtl. Regionale Verbraucher-Information ähnlich Stiftung Ökotest
Blick in andere Städte/Regionen/Länder: gibts da evtl. so etwas (Italien, Frankreich, Österreich...) "
Verwaltung;Sportangebote Kinder & Jugendliche;"Vereine gibt es, aber auch Wartelisten. Neben Fussball wenig Möglichkeiten, wenig Plätze.

PLUS: Vereinen fehlt Nachwuchs ";"In Kooperation mit Universität entsprechend der demografischen Struktur und Entwicklung Bambergs Bedarfe eruieren und in den Quartieren Sportoptionen anbieten. Evtl. Student:innen Übungsleiter-Ausbildungen anbieten, da Vereine aktuell nicht alles abdecken können.

PLUS: Vereine und Eltern/Kinder zusammenbringen über Vereinsregister/Datenbank, in die Vereine sich und ihr Angebot und emailadresse eintragen können. "
Digitalisierung;Homepages der Ausflugsziele up-to-date bringen und halten;Homepages und Angaben bei Ausflugszielen veraltet.;Kultur/Tourismusamt screent und berät Ausflugsziele bzw. erinnert regelmäßig an Aktualisierung. 
Verwaltung;Wohnraum: von den Einkommen und Möglichkeiten her denken;"Zu viele Investorenobjekte, zu wenig städtische Verantwortung. ""Bezahlbar"" ist immer die Frage ""für wen?"", Neubau ""gehobene Ausstattung"" brauchts das oder reicht funktional und ordentlich? Zu viele Interessent:innen für zu wenige Wohnungen (Ulanenpark: viele angemeldet aber keine Chance) ";"Tatsächlichen Bedarf jetzt und künftig eruieren (Projekt für Uni), kein Verkauf von Böden an Investoren - Überlassung an Genossenschaften oder Soziale Bauträger auf 99 Jahre mit Verpflichtung der Re-Investition ab Gewinnzone. 12 € pro qm sind zu viel - Orientierung an Möglichkeiten der Familien und jüngeren und älteren Einpersonen- Haushalte, die ""zu reich"" für Zuschüsse, aber ""zu arm"" für freien Wohnungsmarkt sind. Deren Budget angepasst Wohnraum konzipieren, Ausstattung pragmatisch aber nachhaltig. Gleiches gilt für ""Hausprojekte"" - Josefstiftung 750.000 € - unmöglich."
Kultur;Kultur: vielfältigers Angebot, auf Durchmischung achten;Theater, Symphoniker, Kino: alles gut und richtig, aber Mainstream ging verloren. ;"Reflexion der Angebote und Anregung der Anreicherung - z.B. Disney Filme, Science Fiction, unterhaltsame Theaterstücke statt schwerer Kost und Belehrungen.
BroseArena auch für andere Künstler:innen zur Verfügung stellen - zu ""biederes"" Programm. "
Stadtgestaltung;Lernen von best practise Beispiel Hallstadt ;Innenstadt verödet,teuere Boutiquen eröffnen und schließen, immergleiche Läden (Anm.: aktuell Bubble Tea, BarberShops, Telefonläden) nötigen Bamberger:innen nach Hallstadt zu fahren. Innenstadt für jüngere Menschen kaum mehr attraktiv. ;Lernen von anderen Städten und sorgsame Auswahl der Gewerbe. 
Barrierefreiheit;Digitales Bildungsangebot zu Nachhaltigkeit in Leichter Sprache für Erwachsene & Ältere;Erwachsene und auch ältere Menschen haben manchmal Schwierigkeiten, die Notwendigkeit eines Umdenkens und Umhandelns für mehr Nachhaltigkeit und Ökologie zu verstehen. Manche lesen nicht gerne längere Berichte, manche mögen keine englischen Bezeichnungen, manche verstehen es einfach nicht wenn es zu viele Sätze sind. ;Ich frag mich, ob solche oder ähnlichen Lernspiele auch für Erwachsene UND in leichter Sprache ohne viel Englisch entwickelt werden könnten. Das wäre digital im Sinne SMART City, und nachhaltig im Sinne von BNE. Und würde somit auch zur Mehrfachvernetzung beitragen (Uni, BNEBildungsbüro, SMARTCity-Projekt, VHS....Quartiersbüros...) https://www.uni-bamberg.de/nawididaktik/...
Stadtgestaltung;Erscheinungsbild Innenstadt ;Erscheinungsbild Innenstadt - bald geprägt von 1-€-Läden, Barber-Shops, BubbleTea, Telefonläden etc. Nicht attraktiv für Jugendliche und jüngere Erwachsene, deshalb gehen diese nach Hallstadt ins ErtlZentrum z.B.;
Stadtgestaltung;Erscheinungsbild Bahnhof;Erscheinungsbild der Stadt Bamberg Bahnhof.   Bahnhof und Bahnhofsvorplatz nicht stadtgemäß für ein Weltkulturerbe. Stadt soll mit DB in Verhandlungen treten und darauf achten, dass eine gute Auswahl an Läden im Bahnhof vorhanden ist, nicht nur Mc Donalds und Presse, demnächst Yormas. Zumindest in der Umbauphase Hinweisschilder auf lokales Gutes in nächster oder übernächster Nähe (evtl. ähnlich Wegweisern).;
Verwaltung;Luftfilter nach den Sommerferien in den Schulen;Luftfilter nach den Sommerferien in den Schulen;
Verwaltung;Nachhaltigkeit der digitalen Projekte sichern (hatte ich schon mal eingegegeben, finde es aber nicht mehr...);Digitalisierung ist nicht nur positiv. Digitalisierung kostet z. B. Energie, die irgendwo herkommen muss, benötigt evtl. Seltene Erden und immer die neueste SMARTphonegeneration. Sie kann Menschen exkludieren, die weniger finanzielle Mittel oder keinen Zugang zu digitalen Geräten haben. Sie kann die Ausbeutung von Menschen in anderen Ländern unterstützen und mehr Nachteil als Nutzen bringen. ;Alle Projekte auf ökologische Nachhaltigkeit, soziale Gerechtigkeit und ökonomische Nachhaltigkeit prüfen, so viele der 17 Nachhaltigkeitsziele als möglich bei der Verwirklichung beachten. 
